ts_001 | 百战不殆 | undefined
ts_025 | 重整旗鼓 | 补兵封顶开战上限；仅兵力少于敌军时触发（逆风局战前重整）
ts_026 | 百折不挠 | 逆局归队，按开战兵力×0.12补员，封顶开战上限（2026-07-04 由0.2下调）
ts_027 | 四面楚歌 | undefined
ts_028 | 半渡而击 | undefined
ts_029 | 肉薄骨并 | 火牛陷阵大档=15% 皮肤，同机制
ts_030 | 借风纵火 | undefined
ts_031 | 游刃有余 | undefined
ts_032 | 兵不血刃 | undefined
ts_033 | 绝境逆搏 | 败时咬人：胜方本场战损×1.5；胜方保底存活 10% 初始兵
ts_034 | 宁为玉碎 | 败时咬人：胜方本场战损×2；胜方保底存活 10% 初始兵
ts_035 | 休养生息 | undefined
ts_036 | 爱兵如子 | undefined
ts_037 | 众志成城 | 守城胜时战损再减半
ts_038 | 虽败犹荣 | 以少敌多而败，咬人：胜方本场战损×2；胜方保底存活 10% 初始兵
ts_039 | 斩草除根 | 我败时，胜方战后恢复率归零
ts_040 | 如臂使指 | undefined
ts_041 | 穷寇勿迫 | 敌兵<20% 时己方战损-40%
ts_042 | 料敌机先 | 完全否决敌方战术技（视为无技）；敌无将/无技时不触发。magnitude=1 占位
ts_043 | 借策还施 | magnitude=0.7 是【70%概率完全否决敌技】，非按比例缩放；字段名 partial_negate 易误读，实现走概率门（跨量纲通用+直播悬念）
ts_044 | 以子之矛 | 绝品：magnitude=0.5 → 50%概率夺取敌技为己用（按敌技五家族 switch 自用），失败则仅否决。【2026-07-03 定】不设100%夺取（否决+复制双收益过强，破坏49技内部平衡）；直播牌面「夺【破釜沉舟】为己用」
ts_045 | 诱敌深入 | undefined
ts_046 | 暗度陈仓 | 地形对抗：引擎侧待接线（仅 combat-model 工具支持）
ts_047 | 指南打北 | 地形对抗：引擎侧待接线（仅 combat-model 工具支持）
ts_048 | 空城退敌 | 己兵<敌30% 时，敌先声类技失效
ts_051 | 所向无前 | undefined
ts_052 | 封狼居胥 | 【霍去病】T0专属；轻骑驰突全域适用（2026-07-11 连战模拟校准：原首战门控致连攻第2场起无战术技）
ts_053 | 无坚不摧 | undefined
ts_054 | 流星坠营 | undefined
ts_056 | 乘夜掩至 | undefined
ts_057 | 满万无敌 | undefined
ts_058 | 并力一向 | undefined
ts_059 | 长生天佑 | 【成吉思汗】T0专属；苍天佑助稳态进取（2026-07-11 慢慢直播连战校准：原纯免疫削兵无攻面，连战偏软）
ts_060 | 必死则生 | undefined
ts_061 | 以短制长 | undefined
ts_062 | 长驱摧阵 | undefined
ts_063 | 所向摧陷 | undefined
ts_064 | 虎穴奇袭 | undefined
ts_065 | 凭坚摧锋 | undefined
ts_066 | 鸣镝所向 | undefined
ts_067 | 长驱入关 | undefined
ts_068 | 乘虚直捣 | undefined
ts_069 | 出奇捣虚 | undefined
ts_070 | 席卷驰突 | undefined
ts_071 | 锐不可当 | undefined
ts_072 | 回军突袭 | undefined
ts_073 | 以弱敌强 | undefined
ts_074 | 前无坚阵 | undefined
ts_075 | 出没如神 | undefined
ts_076 | 如墙而进 | undefined
ts_077 | 长围久困 | undefined
ts_078 | 白衣渡江 | undefined
ts_079 | 两蹶名王 | undefined
ts_080 | 踏雪破阵 | undefined
ts_081 | 苇泽奋击 | undefined
ts_082 | 飞虎突阵 | undefined
ts_083 | 铁枪拔阵 | undefined
ts_084 | 铁骑蹙敌 | undefined
ts_085 | 铁甲冲突 | undefined
ts_086 | 整暇破疲 | undefined
ts_087 | 鼓行而西 | undefined
ts_088 | 勒兵摧阵 | undefined
ts_089 | 风卷残云 | undefined
ts_090 | 合围聚歼 | undefined
ts_091 | 阻险御敌 | undefined
ts_092 | 痛饮黄龙 | undefined
ts_093 | 鸳鸯阵法 | undefined
ts_094 | 廓清朔漠 | undefined
ts_107 | 倍道奔袭 | undefined
ts_108 | 倾国压境 | undefined
ts_109 | 奋身陷阵 | undefined
ts_110 | 望旗遁去 | undefined
ts_111 | 屡蹶复振 | undefined
ts_112 | 夜度昆仑 | undefined
ts_113 | 义旗西指 | undefined
ts_114 | 奇兵斩将 | undefined
ts_115 | 横扫西陲 | undefined
ts_116 | 摧军擒王 | undefined
ts_095 | 练锐拒虏 | undefined
ts_096 | 坚壁挫锐 | undefined
ts_097 | 荡寇摧凶 | undefined
ts_098 | 哀兵制胜 | undefined
ts_099 | 据险破众 | undefined
ts_100 | 殊死却敌 | undefined
ts_102 | 席卷八荒 | undefined
ts_103 | 避锐远遁 | undefined
ts_104 | 负险固守 | undefined
ts_117 | 牧野鹰扬 | undefined
ts_118 | 一匡天下 | undefined
ts_119 | 追奔逐北 | undefined
ts_120 | 铁骑突出 | undefined
ts_121 | 破关夺隘 | undefined
ts_122 | 辟土开疆 | undefined
ts_123 | 不战屈人 | undefined
ts_124 | 长驱饮马 | undefined
ts_125 | 转战千里 | undefined
ts_126 | 东挡西杀 | undefined
ts_127 | 隐忍伺机 | undefined
ts_128 | 突骑摧坚 | undefined
ts_129 | 象阵摧锋 | undefined
ts_130 | 示弱诱歼 | undefined
ts_131 | 摧坚擒王 | undefined
ts_132 | 威服诸部 | undefined
ts_133 | 建牙破敌 | undefined
ts_134 | 号令如山 | undefined
ts_135 | 刺山飞泉 | undefined
ts_136 | 疾风劲骑 | undefined
ts_137 | 安边御寇 | undefined
ts_138 | 以寡摧盟 | undefined
ts_139 | 兵雄四方 | undefined
ts_140 | 控弦制胜 | undefined
ts_141 | 弯刀陷阵 | undefined
ts_142 | 巨象蹈坚 | undefined
ts_143 | 揭竿突阵 | undefined
ts_144 | 坚城折锐 | undefined
ts_145 | 养锐蓄势 | undefined
ts_146 | 先机制敌 | undefined
ts_147 | 决胜千里 | undefined
ts_148 | 突骑陷坚 | undefined
ts_149 | 庙算制胜 | undefined
ts_150 | 驰突破阵 | undefined
ts_151 | 扼险却敌 | undefined
ts_152 | 决战破盟 | undefined
ts_153 | 回马控弦 | undefined
ts_154 | 黑旗蔽日 | undefined
ts_155 | 摧锋定倾 | undefined
ts_156 | 赤备突阵 | undefined
ts_157 | 草木皆兵 | undefined
ts_158 | 歼锐无遗 | undefined
ts_159 | 治戎为长 | undefined
ts_160 | 骄敌聚歼 | undefined
ts_161 | 摧锋夺气 | undefined
ts_162 | 裹毡疾进 | undefined
ts_163 | 白袍破阵 | undefined
ts_164 | 火牛奔冲 | undefined
ts_165 | 减灶诱歼 | undefined
ts_166 | 背城借一 | undefined
ts_167 | 守死遏敌 | 守城城破身死，咬人：胜方本场战损×2（睢阳死守，杀敌十二万，蔽遮江淮）；胜方保底存活 10% 初始兵
ts_168 | 百败不折 | undefined
ts_169 | 无当拒锋 | undefined
ts_170 | 横江扼敌 | undefined
ts_171 | 风林火山 | undefined
ts_172 | 奇正守险 | undefined
ts_173 | 诱敌疲歼 | undefined
ts_174 | 却月破骑 | undefined
ts_175 | 勇锐略地 | undefined
ts_176 | 孤骑擒将 | undefined
ts_177 | 卧薪尝胆 | undefined
ts_178 | 聚米制胜 | undefined
ts_179 | 奋勇陷坚 | undefined
ts_180 | 百骑劫营 | undefined
ts_181 | 雪夜奇袭 | undefined
ts_182 | 火焚连舰 | undefined
ts_183 | 乘风纵火 | undefined
ts_184 | 深壁扼粮 | undefined
ts_185 | 令行禁止 | undefined
ts_186 | 潜锋设伏 | undefined
ts_187 | 愈挫愈奋 | undefined
ts_188 | 隐锋待时 | undefined
ts_189 | 狭路争锋 | undefined
ts_190 | 乘危夺鼎 | undefined
ts_191 | 蚕食摧坚 | undefined
ts_192 | 劲弩番射 | undefined
ts_193 | 临机决水 | undefined
ts_194 | 正兵决荡 | undefined
ts_195 | 诈降毙帅 | undefined
ts_196 | 一箭落雕 | undefined
ts_197 | 凭堞折冲 | undefined
ts_198 | 勇冠三军 | undefined
ts_199 | 率锐破雄 | undefined
ts_200 | 登旅致师 | undefined
ts_201 | 麾兵力战 | undefined
ts_202 | 邀击擒渠 | undefined
ts_203 | 驱徒成军 | undefined
ts_204 | 倡义靖乱 | undefined
ts_205 | 运筹先定 | undefined
ts_206 | 持重克乱 | undefined
ts_207 | 胡骑南牧 | undefined
ts_208 | 夜拔坚城 | undefined
ts_209 | 汲水凝冰 | undefined
ts_210 | 老骥雄飞 | undefined
ts_211 | 死地奋决 | undefined
ts_212 | 结围御虏 | undefined
ts_213 | 白马摧锋 | undefined
ts_214 | 胡服骑射 | undefined
ts_215 | 凿隧破围 | undefined
ts_216 | 三箭慑虏 | undefined
ts_217 | 楼船焚垒 | undefined
ts_218 | 诱骄致溃 | undefined
ts_219 | 强弩破骑 | undefined
ts_220 | 奄袭虏庭 | undefined
ts_221 | 虓虎陷阵 | undefined
ts_222 | 蹑归聚歼 | undefined
ts_223 | 横扫连城 | undefined
ts_224 | 有志竟成 | undefined
ts_225 | 奋疾破虏 | undefined
ts_226 | 蓄锐倾覆 | undefined
ts_227 | 破军立鼎 | undefined
ts_228 | 并骑破阵 | undefined
ts_229 | 率部破柔 | undefined
ts_230 | 孤军诛单 | undefined
ts_231 | 专征破垒 | undefined
ts_232 | 绝漠追奔 | undefined
ts_233 | 控弦称雄 | undefined
ts_234 | 却敌全师 | undefined
ts_235 | 席卷江表 | undefined
ts_236 | 连环锁骑 | undefined
ts_237 | 驼阵横行 | undefined
ts_238 | 收众奋击 | undefined
ts_239 | 驱虏通西 | undefined
ts_240 | 锋镝先驱 | undefined
ts_241 | 张翼包歼 | undefined
ts_242 | 袭帐破汗 | undefined
ts_243 | 骁锐陷锋 | undefined
ts_244 | 收众破突 | undefined
ts_245 | 勇决破众 | undefined
ts_246 | 席卷海宇 | undefined
ts_247 | 纠盟合众 | undefined
ts_248 | 连岁抗虏 | undefined
ts_249 | 却胡筑塞 | undefined
ts_250 | 铁鹞冲坚 | undefined
ts_251 | 奇袭虏巢 | undefined
ts_252 | 五郡连兵 | undefined
ts_253 | 张乐却虏 | undefined
ts_254 | 飘忽夺地 | undefined
ts_255 | 筑垒蚕食 | undefined
ts_256 | 枭雄据河 | undefined
ts_257 | 水淹七军 | undefined
ts_258 | 奋先摧坚 | undefined
ts_259 | 亲帅摧城 | undefined
ts_260 | 奇计擒藩 | undefined
ts_261 | 火攻破舰 | undefined
ts_262 | 唱筹量沙 | undefined
ts_263 | 婴城挫众 | undefined
ts_264 | 屯田制敌 | undefined
ts_265 | 据水断桥 | undefined
ts_266 | 单骑退蕃 | undefined
ts_267 | 饮马问鼎 | undefined
ts_268 | 合诏摧虏 | undefined
ts_269 | 合兵摧城 | undefined
ts_270 | 锐志摧远 | undefined
ts_271 | 白杆勤王 | undefined
ts_272 | 疾骑平蕃 | undefined
ts_273 | 铁壁挫锋 | undefined
ts_274 | 奋击摧敌 | undefined
ts_275 | 远飏破锥 | undefined
ts_276 | 长驱蹙虏 | undefined
ts_277 | 虽远必诛 | undefined
ts_278 | 火燔连营 | undefined
ts_279 | 雷厉摧锋 | undefined
ts_280 | 倍道诛逆 | undefined
ts_281 | 车悬奔冲 | undefined
ts_282 | 疾锋摧盟 | undefined
ts_283 | 逾岭袭国 | undefined
ts_284 | 诡道擒渠 | undefined
ts_285 | 越沙摧垒 | undefined
ts_286 | 凭险摧锐 | undefined
ts_287 | 楼船踏浪 | undefined
ts_288 | 荡海歼寇 | undefined
ts_289 | 戈船破阵 | undefined
ts_290 | 保境安边 | undefined
ts_291 | 破碉摧堡 | undefined
ts_292 | 奇袭夺帐 | undefined
ts_293 | 壅水灌垒 | undefined
ts_294 | 先据山险 | undefined
ts_295 | 振旅摧锋 | undefined
ts_296 | 孤守绝域 | undefined
ts_297 | 长驱摧垒 | undefined
ts_298 | 据河自固 | undefined
ts_299 | 孤城却众 | undefined
ts_300 | 夜袭破虏 | undefined
ts_301 | 建牙摧敌 | undefined
ts_302 | 破敌奠基 | undefined
ts_303 | 恃象横行 | undefined
ts_304 | 摧锋破垒 | undefined
ts_305 | 破阵摧坚 | undefined
ts_306 | 乘丧摧垒 | undefined
ts_307 | 摧坚破阵 | undefined
ts_308 | 收部摧庭 | undefined
ts_309 | 寡骑破众 | undefined
ts_310 | 借兵破竺 | undefined
ts_311 | 并力诛渠 | undefined
ts_312 | 控弦拒虏 | undefined
ts_313 | 西迁破月 | undefined
ts_314 | 连破摧城 | undefined
ts_315 | 设伏歼锐 | undefined
ts_316 | 先犯破盟 | undefined
ts_317 | 摧垒代兴 | undefined
ts_318 | 恩威服众 | undefined
ts_319 | 破阵摧军 | undefined
ts_320 | 婴城拒逆 | undefined
ts_321 | 坚垒挫锋 | undefined
ts_322 | 连破坚垒 | undefined
ts_323 | 狼兵荡寇 | undefined
ts_324 | 并力摧城 | undefined
ts_325 | 越岭摧城 | undefined
ts_326 | 扼险歼师 | undefined
ts_327 | 扫荡摧坚 | undefined
ts_328 | 骁锋摧叛 | undefined
ts_329 | 合围俘君 | undefined
ts_330 | 黄山破敌 | undefined
ts_331 | 夜战破众 | undefined
ts_332 | 鏖兵破垒 | undefined
ts_333 | 倡义附盟 | undefined
ts_334 | 镇抚遐荒 | undefined
ts_335 | 世镇摧锋 | undefined
ts_336 | 聚众摧军 | undefined
ts_337 | 长驱夺城 | undefined
ts_338 | 恃险困敌 | undefined
ts_339 | 奔袭擒渠 | undefined
ts_340 | 陷城夺都 | undefined
ts_341 | 远驱破国 | undefined
ts_342 | 楼船摧岸 | undefined
ts_343 | 舟师歼锐 | undefined
ts_344 | 绝崖驰袭 | undefined
ts_345 | 破敌开幕 | undefined
ts_346 | 火矢焚舟 | undefined
ts_347 | 泛海夺城 | undefined
ts_348 | 驱象摧阵 | undefined
ts_349 | 收众摧锋 | undefined
ts_350 | 老谋荡寇 | undefined
ts_351 | 昼伏夜击 | undefined
ts_352 | 征伐开疆 | undefined
ts_353 | 聚众摧坚 | undefined
ts_354 | 连征摧远 | undefined
ts_355 | 摧锋弑君 | undefined
ts_356 | 飞军摧逆 | undefined
ts_357 | 威震绝域 | undefined
ts_358 | 铁骑破锐 | undefined
ts_359 | 深入捣巢 | undefined
ts_360 | 疾驱灭国 | undefined
ts_361 | 攻心摧部 | undefined
ts_362 | 越沙破垒 | undefined
ts_363 | 迂回袭砦 | undefined
ts_364 | 席卷摧邻 | undefined
ts_365 | 扼江破舰 | undefined
ts_366 | 夜渡袭城 | undefined
ts_367 | 摧锋拓边 | undefined
ts_368 | 据隘御侵 | undefined
ts_369 | 碉守挫锐 | undefined
ts_370 | 逾岭破阵 | undefined
ts_371 | 秉钺制敌 | undefined
ts_372 | 奔袭陷城 | undefined
ts_373 | 复土摧坚 | undefined
ts_374 | 据险保民 | undefined
ts_375 | 骁锋陷阵 | undefined
ts_376 | 奋锐破坚 | undefined
ts_377 | 摧锋靖边 | undefined
ts_378 | 乘虚陷阙 | undefined
ts_379 | 奄袭夺城 | undefined
ts_380 | 风雨掩袭 | undefined
ts_381 | 千枪突阵 | undefined
ts_382 | 决堰歼敌 | undefined
ts_383 | 闻鸡起舞 | undefined
ts_384 | 精达事机 | undefined
ts_385 | 嚼齿吞贼 | 守城败时咬人：胜方(攻方)本场战损×2；契合张巡守睢阳虽陷、蔽遮江淮拖垮叛军的定位
ts_386 | 拔刀刺山 | undefined
ts_387 | 保境安民 | undefined
ts_388 | 孤胆陷阵 | 赵云长坂坡冲阵救主、汉水以数十骑出围破众；以少打多时爆发。绝地反击(ts_011)的赵云专属签名版
ts_389 | 瞒天过海 | 【胜战计·全】薛仁贵；三十六计补充
ts_390 | 围点打援 | 【胜战计·全】孙膑；三十六计补充
ts_391 | 借刀杀人 | 【胜战计·全】曹操；三十六计补充
ts_392 | 趁火打劫 | 【胜战计·全】孙策；三十六计补充
ts_393 | 无中生有 | 【敌战计·衡】檀道济；三十六计补充
ts_394 | 隔岸观火 | 【敌战计·衡】慕容垂；三十六计补充
ts_395 | 笑里藏刀 | 【敌战计·衡】商鞅；三十六计补充
ts_396 | 李代桃僵 | 【敌战计·衡】陆逊；三十六计补充
ts_397 | 顺手牵羊 | 【敌战计·衡】吕蒙；三十六计补充
ts_398 | 打草惊蛇 | 【攻战计·机】周亚夫；三十六计补充
ts_399 | 借尸还魂 | 【攻战计·机】项梁；三十六计补充
ts_400 | 调虎离山 | 【攻战计·机】虞诩；三十六计补充
ts_401 | 欲擒故纵 | 【攻战计·机】诸葛亮；三十六计补充
ts_402 | 抛砖引玉 | 【攻战计·机】李牧；三十六计补充
ts_403 | 釜底抽薪 | 【混战计·乱】李世民；三十六计补充
ts_404 | 浑水摸鱼 | 【混战计·乱】李靖；三十六计补充
ts_405 | 金蝉脱壳 | 【混战计·乱】孙坚；三十六计补充
ts_406 | 关门捉贼 | 【混战计·乱】白起；三十六计补充
ts_407 | 远交近攻 | 【混战计·乱】赵武灵王；三十六计补充
ts_408 | 假道伐虢 | 【混战计·乱】周瑜；三十六计补充
ts_409 | 偷梁换柱 | 【并战计·借】赵奢；三十六计补充
ts_410 | 循序夺柄 | 【并战计·借】司马懿；三十六计补充
ts_411 | 指桑骂槐 | 【并战计·借】孙武；三十六计补充
ts_412 | 假痴不癫 | 【并战计·借】刘备；三十六计补充
ts_413 | 上屋抽梯 | 【并战计·借】吴起；三十六计补充
ts_414 | 树上开花 | 【并战计·借】张飞；三十六计补充
ts_415 | 倾城误敌 | 【败战计·险】勾践；三十六计补充
ts_416 | 反间除帅 | 【败战计·险】周瑜；三十六计补充
ts_417 | 苦肉诈降 | 【败战计·险】黄盖；三十六计补充
ts_418 | 连环离间 | 【败战计·险】吕布；三十六计补充
ts_419 | 全师而退 | 【败战计·险】刘邦；三十六计补充
ts_420 | 散阵遏骑 | 【岳飞】T0精锐·岳飞·势create·均局专属（三势精修）
ts_421 | 空寨掩击 | 【岳飞】T0精锐·岳飞·势create·劣局专属（三势精修）
ts_422 | 弃辎突袭 | 【霍去病】T0精锐·霍去病·势create·均局专属（三势精修）
ts_423 | 散骑溃阵 | 【霍去病】T0精锐·霍去病·势create·劣局专属（三势精修）
ts_424 | 囊沙壅流 | 【韩信】T0精锐·韩信·势reverse·均局专属（三势精修）
ts_425 | 拔帜易帜 | 【韩信】T0精锐·韩信·势reverse·均局专属（三势精修；原劣局技，改 luck_variance_enemy 后归均势）
ts_426 | 晨驰摧阵 | 【项羽】T0精锐·项羽·势reverse·均局专属（三势精修）
ts_427 | 溃围断后 | 【项羽】T0精锐·项羽·势reverse·均局专属（三势精修；原劣局技，改 luck_variance_enemy 后归均势）
ts_428 | 诱锋夹截 | 【吴起】T0精锐·吴起·势create·均局专属（三势精修）
ts_429 | 死士断喉 | 【吴起】T0精锐·吴起·势create·劣局专属（三势精修）
ts_430 | 阵遏锋摧 | 【谢玄】T0精锐·reverse·势均局专属（三势精修）
ts_431 | 溃军反扼 | 【谢玄】T0精锐·reverse·势均局专属（三势精修；原劣局技，改 luck_variance_enemy 后归均势）
ts_432 | 收郡疲敌 | 【刘秀】T0精锐·reverse·势均局专属（三势精修）
ts_433 | 溃围突冲 | 【刘秀】T0精锐·reverse·势劣局专属（三势精修）
ts_434 | 贯阵摧坚 | 【李世民】T0精锐·create·势均局专属（三势精修）
ts_435 | 绝粮伺击 | 【李世民】T0精锐·create·势劣局专属（三势精修）
ts_436 | 纵舟乱阵 | 【李靖】T0精锐·create·势均局专属（三势精修）
ts_437 | 佯败诱截 | 【李靖】T0精锐·create·势劣局专属（三势精修）
ts_438 | 鹤翼散击 | 【李舜臣】T0精锐·reverse·势均局专属（三势精修）
ts_439 | 潮截归路 | 【李舜臣】T0精锐·reverse·势劣局专属（三势精修）
ts_440 | 伏桩遏舟 | 【陈国峻】T0精锐·reverse·势均局专属（三势精修）
ts_441 | 散舟火扰 | 【陈国峻】T0精锐·reverse·势劣局专属（三势精修）
ts_442 | 凿道迂摧 | 【成吉思汗】T0精锐·create·势优局专属（三势精修）；2026-07-11 略提削敌以配慢慢直播连战
ts_443 | 溃走整众 | 【成吉思汗】T0精锐·create·势劣局专属（三势精修）
ts_444 | 中军截阵 | 【完颜阿骨打】T0精锐·create·势均局专属（三势精修）
ts_445 | 背壕死突 | 【完颜阿骨打】T0精锐·create·势劣局专属（三势精修）
ts_446 | 结阵待隙 | 【多尔衮】T0精锐·create·势均局专属（三势精修）
ts_447 | 分道掩退 | 【多尔衮】T0精锐·create·势劣局专属（三势精修）
ts_448 | 诱营掩袭 | 【赵匡胤】T1精锐·赵宋区·势create·均局专属（三势精修）
ts_449 | 溃流断遏 | 【赵匡胤】T1精锐·赵宋区·势create·劣局专属（三势精修）
ts_450 | 塞道遏冲 | 【王坚】T1精锐·赵宋区·势reverse·均局专属（三势精修）
ts_451 | 死士逆摧 | 【王坚】T1精锐·赵宋区·势reverse·劣局专属（三势精修）
ts_452 | 叠砦疲敌 | 【孟珙】T1精锐·赵宋区·势reverse·均局专属（三势精修）
ts_453 | 间道夺粮 | 【孟珙】T1精锐·赵宋区·势reverse·劣局专属（三势精修）
ts_454 | 伏隘截锋 | 【杨业】T1精锐·赵宋区·势reverse·均局专属（三势精修）
ts_455 | 断后摧追 | 【杨业】T1精锐·赵宋区·势reverse·劣局专属（三势精修）
ts_456 | 散骑扰牧 | 【王韶】T1精锐·赵宋区·势create·均局专属（三势精修）
ts_457 | 断道遏援 | 【王韶】T1精锐·赵宋区·势create·劣局专属（三势精修）
ts_458 | 叠伏遏骑 | 【曲端】T1精锐·赵宋区·势create·均局专属（三势精修）
ts_459 | 严垒止溃 | 【曲端】T1精锐·赵宋区·势create·劣局专属（三势精修）
ts_460 | 鼓噪乱阵 | 【狄青】T1精锐·赵宋区·势create·均局专属（三势精修）
ts_461 | 溃旅扼门 | 【狄青】T1精锐·赵宋区·势create·劣局专属（三势精修）
ts_462 | 合围攻心 | 【沙普尔】T1精锐·三势精修·势create·优局专属
ts_463 | 分进乱阵 | 【沙普尔】T1精锐·三势精修·势create·均局专属
ts_464 | 溃流遏追 | 【沙普尔】T1精锐·三势精修·势create·劣局专属
ts_465 | 围城困崩 | 【皇太极】T1精锐·三势精修·势reverse·优局专属
ts_466 | 长围断援 | 【皇太极】T1精锐·三势精修·势reverse·均局专属
ts_467 | 间行除患 | 【皇太极】T1精锐·三势精修·势reverse·劣局专属
ts_468 | 风涛掩击 | 【毛利元就】T1精锐·三势精修·势leverage·优局专属
ts_469 | 诱锋夹击 | 【毛利元就】T1精锐·三势精修·势leverage·均局专属
ts_470 | 笼城疲敌 | 【毛利元就】T1精锐·三势精修·势leverage·劣局专属
ts_471 | 据险摧锋 | 【大祚荣】T1精锐·三势精修·势reverse·优局专属
ts_472 | 垒山遏骑 | 【大祚荣】T1精锐·三势精修·势reverse·均局专属
ts_473 | 间道退敌 | 【大祚荣】T1精锐·三势精修·势reverse·劣局专属
ts_474 | 踏雪溃阵 | 【拖雷】T1精锐·三势精修·势create·优局专属
ts_475 | 假道迂击 | 【拖雷】T1精锐·三势精修·势create·均局专属
ts_476 | 散骑整众 | 【拖雷】T1精锐·三势精修·势create·劣局专属
ts_477 | 倍道摧坚 | 【曹操】T1精锐·三势精修·势leverage·优局专属
ts_478 | 截粮疲敌 | 【曹操】T1精锐·三势精修·势leverage·均局专属
ts_479 | 据营止溃 | 【曹操】T1精锐·三势精修·势leverage·劣局专属
ts_480 | 长驱贯阵 | 【柴荣】T1精锐·三势精修·势create·优局专属
ts_481 | 虚实扰敌 | 【柴荣】T1精锐·三势精修·势create·均局专属
ts_482 | 背城遏锋 | 【柴荣】T1精锐·三势精修·势create·劣局专属
ts_483 | 象冲突阵 | 【阇耶跋摩】T1精锐·三势精修·势create·优局专属
ts_484 | 林沼设伏 | 【阇耶跋摩】T1精锐·三势精修·势create·均局专属
ts_485 | 散象溃敌 | 【阇耶跋摩】T1精锐·三势精修·势create·劣局专属
ts_486 | 捣虚袭隙 | 【扩廓帖木儿】T1精锐·三势精修·势create·优局专属
ts_487 | 沙尘掩袭 | 【扩廓帖木儿】T1精锐·三势精修·势create·均局专属
ts_488 | 诈北设伏 | 【扩廓帖木儿】T1精锐·三势精修·势create·劣局专属
ts_489 | 威服摧盟 | 【达延汗】T1精锐·三势精修·势create·优局专属
ts_490 | 分道疲敌 | 【达延汗】T1精锐·三势精修·势create·均局专属
ts_491 | 溃围整旅 | 【达延汗】T1精锐·三势精修·势create·劣局专属
ts_492 | 屡蹶振击 | 【李自成】T1精锐·三势精修·势create·优局专属
ts_493 | 流动作势 | 【李自成】T1精锐·三势精修·势create·均局专属
ts_494 | 散营惑敌 | 【李自成】T1精锐·三势精修·势create·劣局专属
ts_495 | 转战摧虚 | 【张献忠】T1精锐·三势精修·势create·优局专属
ts_496 | 设伏夹截 | 【张献忠】T1精锐·三势精修·势create·均局专属
ts_497 | 溃途收众 | 【张献忠】T1精锐·三势精修·势create·劣局专属
ts_498 | 驰射回锋 | 【苏伦】T1精锐·三势精修·势create·优局专属
ts_499 | 伪遁诱截 | 【苏伦】T1精锐·三势精修·势create·均局专属
ts_500 | 绝地逆摧 | 【苏伦】T1精锐·三势精修·势create·劣局专属
ts_501 | 破盟摧众 | 【艾哈迈德】T1精锐·三势精修·势create·优局专属
ts_502 | 间使离敌 | 【艾哈迈德】T1精锐·三势精修·势create·均局专属
ts_503 | 据险退敌 | 【艾哈迈德】T1精锐·三势精修·势create·劣局专属
ts_504 | 分进合击 | 【噶勒丹策凌】T1精锐·三势精修·势create·优局专属
ts_505 | 诈退设伏 | 【噶勒丹策凌】T1精锐·三势精修·势create·均局专属
ts_506 | 聚散再战 | 【噶勒丹策凌】T1精锐·三势精修·势create·劣局专属
ts_507 | 后发摧敌 | 【德川家康】T1精锐·三势精修·势leverage·优局专属
ts_508 | 持重疲彼 | 【德川家康】T1精锐·三势精修·势leverage·均局专属
ts_509 | 笼城挫锐 | 【德川家康】T1精锐·三势精修·势leverage·劣局专属
