上田城 (city_ueda)
玛曲 (city_maqu)
临贺 (city_hezhou)
零陵 (city_yongzhou_hn)
珠崖 (city_yazhou)
匹播 (city_pibo)
花石峡 (city_huashixia)
文登 (city_wendeng)
广源 (city_guangyuan)
叙永 (city_yongning2)
江阳 (city_jiangyang)
顺元 (city_juzhou)
根城 (city_genjo)
阿母城 (city_amucheng)
石头城 (city_hepancheng)
护密城 (city_humicheng)
阿缓城 (city_huoguocheng)
达尔甘 (city_dargan)
法里亚布 (city_fariyab)
勐泐城 (city_mengle)
清坎城 (city_chingkham)
双河城 (city_shuanghe)
呵叻城 (city_khorat)
瓦伦 (city_valen)
普禄 (city_qiji)
希瓦 (city_khiva)
日土宗 (city_rituzong)
扎敦宗 (city_zhadunzong)
三陇沙 (city_sanlongsha)
博尔巴任 (city_porbazhyn)
莫尔根 (city_moergen)
洞海城 (city_donghai)
拜达里克 (city_baidalik)
结古宗 (city_jiegu)
丁青宗 (city_qiongbu)
卜奎 (city_bukui)
唐努 (city_teshuolankalun)
赤尾木城 (city_akaogicheng)
赤木名城 (city_akakinagusuku)
类乌齐 (city_riwoche)
德格 (city_derge)
甘孜 (city_ganzi)
打箭炉 (city_dajianlu)
八宿宗 (city_basu)
银生城 (city_yinsheng)
索宗 (city_suozong)
囊谦宗 (city_nangqian)
太昭 (city_nichi)
理塘宗 (city_litangzong)
黑沙城 (city_heishacheng)
孛罗城 (city_beiluocheng)
务涂城 (city_wutucheng)
高昌 (city_gaochangcheng)
晋昌城 (city_jinchangcheng)
羯霜那 (city_jieshuangna)
吉扎克 (city_jizhake)
斯姆哈纳 (city_yierkeshentan)
轮台 (city_luntai)
独逻河 (city_duluohe)
姑衍山 (city_guyanshan)
淖毛湖 (city_naomaohu)
敖东城 (city_aodongcheng)
徒河 (city_tuhe)
肥如 (city_feiru)
无终 (city_wuzhong)
乌骨城 (city_wugucheng)
三白 (city_shangzhou)
原之辻 (city_yuanzhishi)
太宰府 (city_taizaifu)
鬼之城 (city_guizhicheng)
宣化 (city_xuanhua)
兴和 (city_xinghe)
集宁 (city_jining)
净州塞 (city_jingzhou)
赛尔乌苏 (city_saierwusu)
铜鞮 (city_tongdi)
获嘉 (city_huojia)
肤施 (city_fushi)
长泽 (city_changze)
临戎 (city_linrong)
媪围 (city_aowei)
鸣沙 (city_mingsha)
令居 (city_lingju)
祖厉 (city_zuli)
折墌 (city_zhedi)
竟陵 (city_jingling)
云梦 (city_yunmeng)
石柱 (city_shizhu)
毕节 (city_bijie)
田阳 (city_tianyang)
巨鹿 (city_liyang)
宁远 (city_ningyuan)
萨尔浒 (city_salhu)
曲沃 (city_quwo)
塔城 (city_tacheng)
哈密卫 (city_hamiwei)
别失八里 (city_bieshibali)
巴里坤 (city_balikun)
窝鲁朵 (city_woluduocheng)
都尉溷河 (city_douweihunhe)
曲雕阿兰 (city_qudiaoalan)
巴彦乌拉 (city_bayanwula)
哈拉盖图 (city_halagaitu2)
阔亦田 (city_kuoyitian)
斡难河 (city_sangguer)
巴彦图门 (city_bayantumen)
忽毡 (city_huzhan)
奥什 (city_aoshen)
三重城 (city_dawushenkate)
麻扎塔格 (city_mazhatage)
阿赫雅尔 (city_yumi)
龙木错 (city_longmucuo)
噶大克 (city_gadake)
帕羊驿 (city_payangyi)
萨噶 (city_saga)
萨迦 (city_sajia)
桑珠孜 (city_sangzhuzi)
甲玛赤康 (city_jiamachikang)
觉木宗 (city_juemuzong)
噶朗宗 (city_galangzong)
芒康宗 (city_mangkangzong)
阿墩子 (city_adunzi)
大研 (city_dayan)
腾越城 (city_tengyuecheng)
勐卯 (city_mengmao)
悉万斤 (city_xiwanjin)
昏度多 (city_hunduduo)
菩提城 (city_puticheng)
喀吉尔 (city_kajier)
札布让 (city_zhaburang2)
江孜 (city_jiangzi)
临邛 (city_linqiong)
严道 (city_yandao)
越嶲 (city_yuegui)
会川 (city_huichuan)
沅陵 (city_chenzhou2)
芷江 (city_yuanzhou)
普定 (city_puding)
曲靖 (city_weixian2)
威楚 (city_weichu)
滇池 (city_tuodongcheng)
罗雄 (city_luoxiong)
宛温 (city_wanwen)
苍梧 (city_cangwu)
龙川 (city_longchuan)
会稽 (city_kuaiji)
庐陵 (city_luling)
盱眙 (city_zhongli)
商邑 (city_shangluo)
郊郢 (city_shicheng)
临烝 (city_linzheng)
桂阳 (city_guiyang)
韶关 (city_qujiang)
珙县 (city_bodao)
南浦 (city_nanpu)
鱼复 (city_baidicheng2)
蕲春 (city_qichun)
皖城 (city_wancheng)
鸠兹 (city_jiuzi)
大通 (city_datong2)
何瑟罗 (city_heseluo)
乌舍城 (city_wushecheng)
咸平 (city_xianping)
辉发 (city_huifa)
俱轮泊 (city_julunbo)
勃利 (city_boli2)
宽城子 (city_kuanchengzi)
乌珠穆沁 (city_wuliyasitai)
赛汉塔拉 (city_saihantala)
讹答剌 (city_sailan)
薛灵哥 (city_saiyinshanda)
郾城 (city_yancheng2)
汝南 (city_xuanhu)
玉尔滚 (city_yuergun)
拨换城 (city_bohuancheng)
大石城 (city_dashicheng)
阿合奇 (city_weitoucheng)
握瑟德 (city_wosedecheng)
巴米扬 (city_fanyanna)
排修城 (city_paixiucheng)
达尔罕 (city_daerhan)
葛溪 (city_yiyang)
临川 (city_linchuan)
新平 (city_binzhou2)
方渠 (city_fangqu)
静塞 (city_jingsai)
回乐 (city_lingzhou)
盆奴里 (city_pennuli)
马鲁鲁德 (city_malulude)
彭迪 (city_pengdi)
乌布萨泊 (city_wubusabo)
乌云 (city_wuyun)
邦敦 (city_bangdun)
三菩 (city_sanpu)
居延塞 (city_juyansai)
吉麦 (city_jimai)
诺托罗 (city_nuotuoluo)
白主 (city_baizhu)
白老 (city_bailao)
宗谷 (city_zonggu)
锡尔喀 (city_xierka)
尼满 (city_niman)
尼布楚 (city_nibuchu)
雅克萨 (city_yakesa)
格尔必齐 (city_geerbiqi)
石勒喀河 (city_shilekahe)
赤塔 (city_chita)
养吉干 (city_yangjigan)
毡的 (city_zhande)
艋舺 (city_mengjia)
钓鱼岛 (city_diaoyudao)
宫古岛 (city_gugudao)
七河 (city_qihe)
瑞波 (city_shwebo)
横屿 (city_hengyu)
罗博 (city_luobo)
思陀 (city_situo)
上丁 (city_shangding)
廷布 (city_tingbu)
弋阳 (city_huangchuan)
雍丘 (city_yongqiu)
蒙城 (city_mengcheng)
永城 (city_yongcheng)
昆阳 (city_kunyang)
虞城 (city_yucheng)
蚌埠 (city_bengbu)
聊城 (city_liaocheng)
萨毗城 (city_sapi)
长宁 (city_shayuan)
噶斯口 (city_gasikou)
牛鼻子梁 (city_niubiziliang)
马海台 (city_mahaitai)
台吉乃尔 (city_taijinaier)
巴音布拉格 (city_bayinbulage)
表氏 (city_biaoshi)
